antecedent,consequent,support,confidence,lift,leverage,conviction,transactions
"{citrus fruit, other vegetables}",{root vegetables},0.010371123538383325,0.3591549295774648,3.295045459323103,0.007223633263540849,1.3903540282798035,102
"{other vegetables, tropical fruit}",{root vegetables},0.012302999491611592,0.34277620396600567,3.144779819035136,0.008390802072529218,1.355704906824676,121
{beef},{root vegetables},0.017386883579054397,0.3313953488372093,3.0403668431100312,0.011668204065608208,1.3326283680732078,171
"{citrus fruit, root vegetables}",{other vegetables},0.010371123538383325,0.5862068965517241,3.0296084222733612,0.006947868089878522,1.9490594814438227,102
"{root vegetables, tropical fruit}",{other vegetables},0.012302999491611592,0.5845410628019324,3.020999134344196,0.008230505940804154,1.941244487532661,121
"{other vegetables, whole milk}",{root vegetables},0.023182511438739197,0.30978260869565216,2.84208204899416,0.015025635233513626,1.2908998474834772,228
"{curd, whole milk}",{yogurt},0.010066090493136757,0.3852140077821012,2.761355514968633,0.0064207465891841725,1.3996711563583943,99
"{other vegetables, yogurt}",{root vegetables},0.012913065582104729,0.297423887587822,2.728697700024468,0.008180747457605653,1.2681921708185053,127
"{other vegetables, yogurt}",{tropical fruit},0.012302999491611592,0.28337236533957844,2.700549625111196,0.007747260401608751,1.2490010001628171,121
"{other vegetables, rolls/buns}",{root vegetables},0.012201321809862735,0.2863961813842482,2.6275246678302997,0.007557665383246548,1.2485941105158187,120
"{tropical fruit, whole milk}",{root vegetables},0.011997966446365024,0.2836538461538462,2.602365276980483,0.007387558156454918,1.2438142096266247,118
"{rolls/buns, root vegetables}",{other vegetables},0.012201321809862735,0.502092050209205,2.5948898128258175,0.0074992640386406205,1.61979211613471,120
"{root vegetables, yogurt}",{other vegetables},0.012913065582104729,0.5,2.5840777719390435,0.007915899582563234,1.6130147432638535,127
"{whole milk, yogurt}",{tropical fruit},0.015149974580579562,0.2704174228675136,2.5770885212228642,0.009271257394182454,1.2268229265467274,149
{pip fruit},{tropical fruit},0.02043721403152008,0.2701612903225806,2.5746475681420353,0.012499345453154474,1.2263923803531753,201
"{tropical fruit, whole milk}",{yogurt},0.015149974580579562,0.3581730769230769,2.5675161891679745,0.009249340090134912,1.3407013475148946,149
"{whipped/sour cream, yogurt}",{other vegetables},0.010167768174885612,0.4901960784313725,2.5334095803323953,0.006154296269742049,1.5819952289703176,100
"{other vegetables, whipped/sour cream}",{yogurt},0.010167768174885612,0.352112676056338,2.524073009485484,0.0061394503977551295,1.3281602970756614,100
"{other vegetables, root vegetables}",{tropical fruit},0.012302999491611592,0.25965665236051505,2.4745379612070404,0.007331162451936361,1.20899125424578,121
"{other vegetables, tropical fruit}",{yogurt},0.012302999491611592,0.34277620396600567,2.4571457478175405,0.007295970705248703,1.30929255123328,121
"{root vegetables, whole milk}",{other vegetables},0.023182511438739197,0.47401247401247404,2.4497701954349353,0.013719374250631092,1.5333203389523984,228
"{whipped/sour cream, whole milk}",{yogurt},0.010879511947127605,0.3375394321766561,2.419606643919397,0.00638311499166858,1.2989425521098117,107
