items,length,support
"other vegetables, whole milk",2,0.07483477376715811
"rolls/buns, whole milk",2,0.05663446873411286
"whole milk, yogurt",2,0.05602440264361973
"root vegetables, whole milk",2,0.048906964921199794
"other vegetables, root vegetables",2,0.047381799694966954
"other vegetables, yogurt",2,0.04341637010676157
"other vegetables, rolls/buns",2,0.042602948652770714
"tropical fruit, whole milk",2,0.04229791560752415
"soda, whole milk",2,0.040061006609049314
"rolls/buns, soda",2,0.03833248601931876
"other vegetables, tropical fruit",2,0.035892221657346214
"rolls/buns, yogurt",2,0.03436705643111337
"bottled water, whole milk",2,0.03436705643111337
"pastry, whole milk",2,0.033248601931875954
"other vegetables, soda",2,0.032740213523131674
"whipped/sour cream, whole milk",2,0.032231825114387394
"rolls/buns, sausage",2,0.030604982206405694
"citrus fruit, whole milk",2,0.030503304524656837
"pip fruit, whole milk",2,0.030096593797661414
"domestic eggs, whole milk",2,0.029994916115912557
"sausage, whole milk",2,0.0298932384341637
"tropical fruit, yogurt",2,0.029283172343670564
"bottled water, soda",2,0.028978139298423997
"citrus fruit, other vegetables",2,0.02887646161667514
"other vegetables, whipped/sour cream",2,0.02887646161667514
"butter, whole milk",2,0.02755465175394001
"soda, yogurt",2,0.027351296390442297
"newspapers, whole milk",2,0.027351296390442297
"other vegetables, sausage",2,0.026944585663446874
"fruit/vegetable juice, whole milk",2,0.026639552618200304
"curd, whole milk",2,0.026131164209456024
"other vegetables, pip fruit",2,0.026131164209456024
"root vegetables, yogurt",2,0.025826131164209457
"brown bread, whole milk",2,0.02521606507371632
"bottled water, other vegetables",2,0.024809354346720894
"rolls/buns, tropical fruit",2,0.024605998983223184
"shopping bags, soda",2,0.024605998983223184
"shopping bags, whole milk",2,0.024504321301474327
"sausage, soda",2,0.024300965937976614
"rolls/buns, root vegetables",2,0.024300965937976614
"margarine, whole milk",2,0.024199288256227757
"bottled water, rolls/buns",2,0.024199288256227757
"other vegetables, root vegetables, whole milk",3,0.023182511438739197
"other vegetables, shopping bags",2,0.023182511438739197
"bottled water, yogurt",2,0.022979156075241484
"other vegetables, pastry",2,0.02257244534824606
"domestic eggs, other vegetables",2,0.02226741230299949
"other vegetables, whole milk, yogurt",3,0.02226741230299949
"pork, whole milk",2,0.022165734621250637
"citrus fruit, yogurt",2,0.021657346212506354
"other vegetables, pork",2,0.021657346212506354
"beef, whole milk",2,0.02125063548551093
"pastry, soda",2,0.021047280122013217
"fruit/vegetable juice, other vegetables",2,0.021047280122013217
"root vegetables, tropical fruit",2,0.021047280122013217
"pastry, rolls/buns",2,0.02094560244026436
"soda, tropical fruit",2,0.020843924758515507
"whipped/sour cream, yogurt",2,0.02074224707676665
"frankfurter, whole milk",2,0.020538891713268937
"frozen vegetables, whole milk",2,0.02043721403152008
"bottled beer, whole milk",2,0.02043721403152008
"pip fruit, tropical fruit",2,0.02043721403152008
"butter, other vegetables",2,0.020030503304524657
"citrus fruit, tropical fruit",2,0.0199288256227758
"napkins, whole milk",2,0.019725470259278087
"newspapers, rolls/buns",2,0.019725470259278087
"beef, other vegetables",2,0.019725470259278087
"margarine, other vegetables",2,0.019725470259278087
"sausage, yogurt",2,0.019623792577529234
"rolls/buns, shopping bags",2,0.019522114895780377
"newspapers, other vegetables",2,0.019318759532282664
"frankfurter, rolls/buns",2,0.019217081850533807
"fruit/vegetable juice, yogurt",2,0.018708693441789527
"brown bread, other vegetables",2,0.018708693441789527
"coffee, whole milk",2,0.018708693441789527
"root vegetables, soda",2,0.01860701576004067
"bottled water, tropical fruit",2,0.018505338078291814
"fruit/vegetable juice, soda",2,0.01840366039654296
"pip fruit, yogurt",2,0.017996949669547534
"other vegetables, rolls/buns, whole milk",3,0.017895271987798677
"chicken, other vegetables",2,0.017895271987798677
"frozen vegetables, other vegetables",2,0.017793594306049824
"pastry, yogurt",2,0.017691916624300967
"citrus fruit, root vegetables",2,0.017691916624300967
"chicken, whole milk",2,0.01759023894255211
"beef, root vegetables",2,0.017386883579054397
"curd, yogurt",2,0.01728520589730554
"curd, other vegetables",2,0.017183528215556684
"other vegetables, tropical fruit, whole milk",3,0.01708185053380783
"root vegetables, whipped/sour cream",2,0.01708185053380783
"white bread, whole milk",2,0.01708185053380783
"bottled beer, soda",2,0.016980172852058974
"citrus fruit, rolls/buns",2,0.01677681748856126
"chocolate, whole milk",2,0.016675139806812404
"cream cheese, whole milk",2,0.016471784443314694
"frankfurter, other vegetables",2,0.016471784443314694
"bottled beer, other vegetables",2,0.016166751398068124
"bottled beer, bottled water",2,0.0157600406710727
"domestic eggs, rolls/buns",2,0.015658362989323844
"bottled water, root vegetables",2,0.015658362989323844
"sausage, shopping bags",2,0.015658362989323844
"rolls/buns, whole milk, yogurt",3,0.015556685307574987
"pip fruit, root vegetables",2,0.015556685307574987
"newspapers, yogurt",2,0.015353329944077275
"shopping bags, yogurt",2,0.015251652262328419
"tropical fruit, whole milk, yogurt",3,0.015149974580579562
"sugar, whole milk",2,0.015048296898830707
"root vegetables, sausage",2,0.01494661921708185
"margarine, rolls/buns",2,0.014743263853584139
"hamburger meat, whole milk",2,0.014743263853584139
"newspapers, soda",2,0.014641586171835282
"other vegetables, whipped/sour cream, whole milk",3,0.014641586171835282
"butter, yogurt",2,0.014641586171835282
"rolls/buns, whipped/sour cream",2,0.014641586171835282
"brown bread, yogurt",2,0.014539908490086425
"fruit/vegetable juice, rolls/buns",2,0.014539908490086425
"root vegetables, whole milk, yogurt",3,0.014539908490086425
"napkins, other vegetables",2,0.01443823080833757
"domestic eggs, root vegetables",2,0.014336553126588714
"domestic eggs, yogurt",2,0.014336553126588714
"onions, other vegetables",2,0.014234875444839857
"margarine, yogurt",2,0.014234875444839857
"bottled water, fruit/vegetable juice",2,0.014234875444839857
"other vegetables, soda, whole milk",3,0.013929842399593289
"pip fruit, rolls/buns",2,0.013929842399593289
"sausage, tropical fruit",2,0.013929842399593289
"hamburger meat, other vegetables",2,0.013828164717844434
"tropical fruit, whipped/sour cream",2,0.013828164717844434
"canned beer, soda",2,0.013828164717844434
"citrus fruit, pip fruit",2,0.013828164717844434
"cream cheese, other vegetables",2,0.013726487036095577
"other vegetables, white bread",2,0.013726487036095577
"fruit/vegetable juice, tropical fruit",2,0.013726487036095577
"dessert, whole milk",2,0.013726487036095577
"beef, rolls/buns",2,0.01362480935434672
"pork, root vegetables",2,0.01362480935434672
"bottled beer, rolls/buns",2,0.01362480935434672
"bottled water, citrus fruit",2,0.013523131672597865
"other vegetables, pip fruit, whole milk",3,0.013523131672597865
"long life bakery product, whole milk",2,0.013523131672597865
"chocolate, soda",2,0.013523131672597865
"shopping bags, tropical fruit",2,0.013523131672597865
"butter, rolls/buns",2,0.013421453990849009
"coffee, other vegetables",2,0.013421453990849009
"pip fruit, soda",2,0.013319776309100152
"pastry, tropical fruit",2,0.013218098627351297
"citrus fruit, other vegetables, whole milk",3,0.013014743263853584
"butter, root vegetables",2,0.012913065582104729
"other vegetables, root vegetables, yogurt",3,0.012913065582104729
"root vegetables, shopping bags",2,0.012811387900355872
"citrus fruit, soda",2,0.012811387900355872
"hygiene articles, whole milk",2,0.012811387900355872
"waffles, whole milk",2,0.012709710218607015
"chocolate, other vegetables",2,0.012709710218607015
"rolls/buns, root vegetables, whole milk",3,0.012709710218607015
"brown bread, rolls/buns",2,0.01260803253685816
"brown bread, soda",2,0.01260803253685816
"pastry, sausage",2,0.012506354855109304
"cream cheese, yogurt",2,0.012404677173360447
"frozen vegetables, yogurt",2,0.012404677173360447
"domestic eggs, soda",2,0.012404677173360447
"other vegetables, tropical fruit, yogurt",3,0.012302999491611592
"other vegetables, root vegetables, tropical fruit",3,0.012302999491611592
"napkins, yogurt",2,0.012302999491611592
"domestic eggs, other vegetables, whole milk",3,0.012302999491611592
"other vegetables, rolls/buns, root vegetables",3,0.012201321809862735
"onions, whole milk",2,0.012099644128113879
"bottled water, sausage",2,0.011997966446365024
"napkins, soda",2,0.011997966446365024
"root vegetables, tropical fruit, whole milk",3,0.011997966446365024
"fruit/vegetable juice, root vegetables",2,0.011997966446365024
"pastry, shopping bags",2,0.011896288764616167
"pork, soda",2,0.011896288764616167
"berries, whole milk",2,0.01179461108286731
"newspapers, tropical fruit",2,0.01179461108286731
"chocolate, rolls/buns",2,0.01179461108286731
"napkins, rolls/buns",2,0.011692933401118455
"beef, yogurt",2,0.011692933401118455
"frozen vegetables, root vegetables",2,0.011591255719369599
"butter milk, whole milk",2,0.011591255719369599
"dessert, other vegetables",2,0.011591255719369599
"soda, whipped/sour cream",2,0.011591255719369599
"ham, whole milk",2,0.011489578037620742
"butter, other vegetables, whole milk",3,0.011489578037620742
"newspapers, root vegetables",2,0.011489578037620742
"other vegetables, rolls/buns, yogurt",3,0.011489578037620742
"canned beer, shopping bags",2,0.011387900355871887
"domestic eggs, tropical fruit",2,0.011387900355871887
"frankfurter, soda",2,0.01128622267412303
"citrus fruit, sausage",2,0.01128622267412303
"pork, rolls/buns",2,0.01128622267412303
"bottled water, newspapers",2,0.01128622267412303
"canned beer, rolls/buns",2,0.01128622267412303
"oil, whole milk",2,0.01128622267412303
"frankfurter, yogurt",2,0.011184544992374174
"salty snack, whole milk",2,0.011184544992374174
"margarine, root vegetables",2,0.011082867310625319
"rolls/buns, tropical fruit, whole milk",3,0.010981189628876462
"bottled water, shopping bags",2,0.010981189628876462
"coffee, rolls/buns",2,0.010981189628876462
"pastry, root vegetables",2,0.010981189628876462
"chicken, root vegetables",2,0.010879511947127605
"curd, root vegetables",2,0.010879511947127605
"whipped/sour cream, whole milk, yogurt",3,0.010879511947127605
"citrus fruit, whipped/sour cream",2,0.010879511947127605
"bottled water, other vegetables, whole milk",3,0.010777834265378749
"sliced cheese, whole milk",2,0.010777834265378749
"pip fruit, sausage",2,0.010777834265378749
"other vegetables, sugar",2,0.010777834265378749
"other vegetables, salty snack",2,0.010777834265378749
"brown bread, tropical fruit",2,0.010676156583629894
"long life bakery product, other vegetables",2,0.010676156583629894
"fruit/vegetable juice, shopping bags",2,0.010676156583629894
"brown bread, sausage",2,0.010676156583629894
"pastry, pip fruit",2,0.010676156583629894
"other vegetables, pastry, whole milk",3,0.010574478901881037
"berries, yogurt",2,0.010574478901881037
