Rank,Item,Frequency (count),Support (proportion),Support (%)
1,whole milk,2513,0.25551601423487547,25.55
2,other vegetables,1903,0.1934926283680732,19.35
3,rolls/buns,1809,0.18393492628368074,18.39
4,soda,1715,0.17437722419928825,17.44
5,yogurt,1372,0.13950177935943062,13.95
6,bottled water,1087,0.11052364006100661,11.05
7,root vegetables,1072,0.10899847483477376,10.9
8,tropical fruit,1032,0.10493136756481952,10.49
9,shopping bags,969,0.09852567361464158,9.85
10,sausage,924,0.09395017793594305,9.4
