country,date,province,district,market_name,lat,lon,food_category,commodity_name,unit,price_flag,price_type,currency,price_rwf,price_usd,year,month,quarter,day_of_week,commodity_group,temp_celsius,precipitation_mm,soil_moisture,monthly_avg_temp,temp_anomaly,monthly_avg_precipitation,precip_anomaly,temp_lag_1,precip_lag_1,temp_lag_2,precip_lag_2,temp_lag_3,precip_lag_3,soil_moisture_lag_1,temp_rolling_3mo,precip_rolling_3mo,price_prev_month,price_direction,usd_rwf_rate,usd_rwf_mom_pct,general_cpi,food_cpi,cpi_mom_pct,food_cpi_mom_pct
RWA,2020-05-15,Eastern Province,Gatsibo,Bubare,-1.6,30.25,vegetables and fruits,Bananas,KG,actual,Retail,RWF,200.0,0.21,2020,5,2,4,Bananas,20.71,3.57,0.94,20.692857142857143,0.017142857142857792,1.82,1.7499999999999998,20.61,1.12,21.46,4.03,21.02,0.5,0.88,20.926666666666666,2.9066666666666667,200.0,0,923.333504813058,0.0001562714118521,126.38712625719948,142.82138469749867,-0.0017301272806024,-0.020986167896936
RWA,2020-11-15,Eastern Province,Gatsibo,Bubare,-1.6,30.25,vegetables and fruits,Bananas,KG,actual,Retail,RWF,220.0,0.22,2020,11,4,6,Bananas,20.7,8.47,0.79,20.71,-0.010000000000001563,7.85,0.620000000000001,21.17,0.8,21.72,0.39,20.88,0.25,0.74,21.19666666666667,3.22,200.0,1,972.3068237304688,0.0142882723919957,129.60471782556252,146.09491790552735,-0.0089518425458893,0.0007618042437116
RWA,2020-12-15,Eastern Province,Gatsibo,Bubare,-1.6,30.25,vegetables and fruits,Bananas,KG,actual,Retail,RWF,230.0,0.23,2020,12,4,1,Bananas,20.1,2.86,0.83,20.964,-0.8639999999999972,4.255999999999999,-1.3959999999999995,20.7,8.47,21.17,0.8,21.72,0.39,0.79,20.65666666666667,4.043333333333333,220.0,1,975.0373880137568,0.0028083360279336,128.32876620165277,144.61417864497932,-0.0098449473546717,-0.0101354604374778
RWA,2021-01-15,Eastern Province,Gatsibo,Bubare,-1.6,30.25,vegetables and fruits,Bananas,KG,actual,Retail,RWF,230.0,0.23,2021,1,1,4,Bananas,20.01,7.02,0.86,20.83857142857143,-0.8285714285714292,1.8199999999999998,5.199999999999999,20.1,2.86,20.7,8.47,21.17,0.8,0.83,20.27,6.116666666666667,230.0,0,970.231892903646,-0.0049285239409128,127.33368740439296,141.33314933042172,-0.0077541367123888,-0.0226881578646058
RWA,2021-03-15,Eastern Province,Gatsibo,Bubare,-1.6,30.25,vegetables and fruits,Bananas,KG,actual,Retail,RWF,230.0,0.23,2021,3,1,0,Bananas,20.71,0.77,0.87,21.38,-0.6699999999999982,2.8616666666666664,-2.0916666666666663,20.01,7.02,20.1,2.86,20.7,8.47,0.86,20.273333333333337,3.5499999999999994,230.0,0,969.6489947775136,-0.0059936140470504,127.37657361777116,139.7803800054451,0.0036649496963374,0.0039763458581729
RWA,2021-06-15,Eastern Province,Gatsibo,Bubare,-1.6,30.25,vegetables and fruits,Bananas,KG,actual,Retail,RWF,170.0,0.17,2021,6,2,1,Bananas,19.83,0.46,0.85,20.24285714285714,-0.4128571428571419,0.2757142857142857,0.18428571428571433,19.8,4.15,20.32,2.27,20.71,0.77,0.91,19.983333333333334,2.2933333333333334,230.0,0,971.906269420277,-0.0031375165827232,128.74000532922452,141.2795484595219,-0.0047773706703476,-0.0227835010014132
RWA,2021-07-15,Eastern Province,Gatsibo,Bubare,-1.6,30.25,vegetables and fruits,Bananas,KG,actual,Retail,RWF,150.0,0.15,2021,7,3,3,Bananas,18.9,1.61,0.8,19.905714285714286,-1.0057142857142871,0.3828571428571429,1.2271428571428573,19.83,0.46,19.8,4.15,20.32,2.27,0.85,19.509999999999998,2.0733333333333337,170.0,0,982.4688998135654,0.0108679517003102,128.47629596400816,140.20379793705683,-0.00204838709259,-0.0076143400385603
RWA,2021-11-15,Eastern Province,Gatsibo,Bubare,-1.6,30.25,vegetables and fruits,Bananas,KG,actual,Retail,RWF,180.0,0.18,2021,11,4,0,Bananas,20.85,2.65,0.77,20.71,0.14000000000000057,7.85,-5.199999999999999,21.34,1.27,22.69,4.71,19.3,0.09,0.75,21.62666666666667,2.8766666666666665,150.0,1,991.3252591219816,0.0030882843919339,130.37250659461583,143.0194691796109,0.0064195155147404,0.0044840362669977
RWA,2022-03-15,Eastern Province,Gatsibo,Bubare,-1.6,30.25,vegetables and fruits,Bananas,KG,actual,Retail,RWF,250.0,0.25,2022,3,1,1,Bananas,21.54,1.61,0.87,21.38,0.16000000000000014,2.8616666666666664,-1.2516666666666663,20.06,2.57,20.49,3.5,20.11,10.94,0.89,20.696666666666662,2.56,180.0,1,1006.6211282481318,0.0007557916412026,134.75045451891938,150.79933821037804,0.0177372671732833,0.0369456511502532
RWA,2022-11-15,Eastern Province,Gatsibo,Bubare,-1.6,30.25,vegetables and fruits,Bananas,KG,actual,Retail,RWF,235.0,0.23,2022,11,4,1,Bananas,20.67,23.23,0.81,20.71,-0.03999999999999915,7.85,15.38,20.9,0.41,19.84,9.39,20.19,17.38,0.8,20.47,11.01,250.0,0,1041.1790882457387,0.0051421548201091,156.53323739274313,199.7700279168244,0.027090639307848,0.0534402779495426
RWA,2023-02-15,Eastern Province,Gatsibo,Bubare,-1.6,30.25,vegetables and fruits,Bananas,KG,actual,Retail,RWF,300.0,0.28,2023,2,1,2,Bananas,21.92,4.3,0.77,21.290000000000003,0.629999999999999,5.141666666666667,-0.8416666666666668,20.3,0.69,20.67,23.23,20.9,0.41,0.82,20.963333333333335,9.406666666666666,235.0,1,1074.090594482422,0.0104051119111245,159.7933127239802,205.03169852787772,0.0128669722333505,0.0269847945278511
RWA,2023-03-15,Eastern Province,Gatsibo,Bubare,-1.6,30.25,vegetables and fruits,Bananas,KG,actual,Retail,RWF,350.0,0.32,2023,3,1,2,Bananas,20.61,8.79,0.76,21.38,-0.7699999999999996,2.8616666666666664,5.928333333333333,21.92,4.3,20.3,0.69,20.67,23.23,0.77,20.94333333333333,4.593333333333333,300.0,1,1081.8682542883832,0.0072411580977573,162.72619193822396,214.6769527475108,0.0183542049679505,0.047042746506446
RWA,2023-06-15,Eastern Province,Gatsibo,Bubare,-1.6,30.25,vegetables and fruits,Bananas,KG,actual,Retail,RWF,300.0,0.26,2023,6,2,3,Bananas,21.13,0.29,0.77,20.24285714285714,0.8871428571428588,0.2757142857142857,0.01428571428571429,21.68,0.08,20.01,2.12,20.61,8.79,0.82,20.94,0.8300000000000001,350.0,0,1132.0275712446733,0.0217374708728721,165.36750307834262,220.1271267463403,-0.012821748608885,-0.0378788313223447
RWA,2023-10-15,Eastern Province,Gatsibo,Bubare,-1.6,30.25,vegetables and fruits,Bananas,KG,actual,Retail,RWF,350.0,0.29,2023,10,4,6,Bananas,22.26,5.57,0.68,21.753333333333334,0.5066666666666677,1.8583333333333334,3.711666666666667,22.61,0.02,19.6,0.0,21.13,0.29,0.69,21.49,1.8633333333333333,300.0,1,1208.8831121271307,0.0175374813429451,173.5587605116841,245.83827359131104,0.0361543172978626,0.0903114211721647
RWA,2024-01-15,Eastern Province,Gatsibo,Bubare,-1.6,30.25,vegetables and fruits,Bananas,KG,actual,Retail,RWF,416.67,0.33,2024,1,1,0,Bananas,21.03,0.88,0.76,20.83857142857143,0.1914285714285704,1.8199999999999998,-0.9399999999999998,21.28,0.61,20.49,2.45,22.26,5.57,0.72,20.933333333333334,1.3133333333333335,350.0,1,1256.0163361922555,0.0125751800350033,167.93567679581503,222.9240811804034,-0.025080828600946,-0.0623211365123217
RWA,2024-02-15,Eastern Province,Gatsibo,Bubare,-1.6,30.25,vegetables and fruits,Bananas,KG,actual,Retail,RWF,400.0,0.32,2024,2,1,3,Bananas,21.53,10.3,0.74,21.290000000000003,0.23999999999999844,5.141666666666667,5.158333333333334,21.03,0.88,21.28,0.61,20.49,2.45,0.76,21.28,3.93,416.67,0,1260.7348051525298,0.0037566939412418,167.71951533310548,220.1038988000299,-0.0012871681993599,-0.0126508646595754
RWA,2024-03-15,Eastern Province,Gatsibo,Bubare,-1.6,30.25,vegetables and fruits,Bananas,KG,actual,Retail,RWF,400.0,0.31,2024,3,1,4,Bananas,21.52,0.15,0.75,21.38,0.14000000000000057,2.8616666666666664,-2.7116666666666664,21.53,10.3,21.03,0.88,21.28,0.61,0.74,21.36,3.7766666666666673,400.0,0,1271.0225539434523,0.008160121183993,170.75182941846788,228.20112768698127,0.0180796735510471,0.0367882119812332
RWA,2024-04-15,Eastern Province,Gatsibo,Bubare,-1.6,30.25,vegetables and fruits,Bananas,KG,actual,Retail,RWF,400.0,0.31,2024,4,2,0,Bananas,20.56,5.63,0.76,20.628333333333334,-0.06833333333333513,2.3850000000000002,3.2449999999999997,21.52,0.15,21.53,10.3,21.03,0.88,0.75,21.203333333333333,5.36,400.0,0,1275.849032315341,0.0037973192190132,172.5749880948635,229.49192300237704,0.0106772424202117,0.0056563932373125
RWA,2024-07-15,Eastern Province,Gatsibo,Bubare,-1.6,30.25,vegetables and fruits,Bananas,KG,actual,Retail,RWF,200.0,0.15,2024,7,3,0,Bananas,20.78,0.01,0.69,19.905714285714286,0.8742857142857154,0.3828571428571429,-0.3728571428571429,21.3,0.42,21.63,0.61,20.56,5.63,0.72,21.236666666666668,0.3466666666666667,400.0,0,1298.9651940387228,0.0050154299457758,174.39976724070925,228.1472813239237,-0.0035507311564895,-0.0104773465717262
