country,date,province,district,market_name,lat,lon,food_category,commodity_name,unit,price_flag,price_type,currency,price_rwf,price_usd,year,month,quarter,day_of_week,commodity_group
RWA,2020-01-15,Eastern Province,Gatsibo,Bubare,-1.6,30.25,cereals and tubers,Maize flour,KG,actual,Retail,RWF,733.33,0.78,2020,1,1,2,Maize flour
RWA,2020-01-15,Eastern Province,Gatsibo,Bubare,-1.6,30.25,cereals and tubers,Rice (imported),KG,actual,Retail,RWF,933.33,1.0,2020,1,1,2,Rice
RWA,2020-01-15,Eastern Province,Gatsibo,Bubare,-1.6,30.25,cereals and tubers,Rice (local),KG,actual,Retail,RWF,800.0,0.85,2020,1,1,2,Rice
RWA,2020-01-15,Eastern Province,Gatsibo,Bubare,-1.6,30.25,miscellaneous food,Salt,KG,actual,Retail,RWF,366.67,0.39,2020,1,1,2,Salt
RWA,2020-01-15,Eastern Province,Gatsibo,Bubare,-1.6,30.25,pulses and nuts,Beans (dry),KG,actual,Retail,RWF,460.0,0.49,2020,1,1,2,Beans (dry)
RWA,2020-01-15,Eastern Province,Gatsibo,Mugera,-1.6,30.28,cereals and tubers,Cassava,KG,actual,Retail,RWF,200.0,0.21,2020,1,1,2,Cassava
RWA,2020-01-15,Eastern Province,Gatsibo,Mugera,-1.6,30.28,cereals and tubers,Cassava flour,KG,actual,Retail,RWF,375.0,0.4,2020,1,1,2,Cassava flour
RWA,2020-01-15,Eastern Province,Gatsibo,Mugera,-1.6,30.28,cereals and tubers,Maize,KG,actual,Retail,RWF,300.0,0.32,2020,1,1,2,Maize
RWA,2020-01-15,Eastern Province,Gatsibo,Mugera,-1.6,30.28,cereals and tubers,Maize flour,KG,actual,Retail,RWF,650.0,0.69,2020,1,1,2,Maize flour
RWA,2020-01-15,Eastern Province,Gatsibo,Mugera,-1.6,30.28,cereals and tubers,Potatoes,KG,actual,Retail,RWF,200.0,0.21,2020,1,1,2,Potatoes
RWA,2020-01-15,Eastern Province,Gatsibo,Mugera,-1.6,30.28,cereals and tubers,Potatoes (Irish),KG,actual,Retail,RWF,250.0,0.27,2020,1,1,2,Potatoes
RWA,2020-01-15,Eastern Province,Gatsibo,Mugera,-1.6,30.28,cereals and tubers,Rice (imported),KG,actual,Retail,RWF,933.33,1.0,2020,1,1,2,Rice
RWA,2020-01-15,Eastern Province,Gatsibo,Mugera,-1.6,30.28,cereals and tubers,Rice (local),KG,actual,Retail,RWF,800.0,0.85,2020,1,1,2,Rice
RWA,2020-01-15,Eastern Province,Gatsibo,Mugera,-1.6,30.28,cereals and tubers,"Rice (long grain, high quality, local)",KG,actual,Retail,RWF,1000.0,1.07,2020,1,1,2,Rice
