date,location,lat,lon,temp_celsius,precipitation_mm,soil_moisture
2020-01-01,Kigali City,-1.9441,30.0619,20.34,1.66,0.83
2020-01-02,Kigali City,-1.9441,30.0619,20.19,1.62,0.82
2020-01-03,Kigali City,-1.9441,30.0619,20.09,0.76,0.82
2020-01-04,Kigali City,-1.9441,30.0619,19.3,29.49,0.83
2020-01-05,Kigali City,-1.9441,30.0619,19.55,2.49,0.83
2020-01-06,Kigali City,-1.9441,30.0619,19.9,1.39,0.83
2020-01-07,Kigali City,-1.9441,30.0619,19.57,0.51,0.83
2020-01-08,Kigali City,-1.9441,30.0619,17.78,7.08,0.83
2020-01-09,Kigali City,-1.9441,30.0619,19.33,1.66,0.83
2020-01-10,Kigali City,-1.9441,30.0619,18.72,2.29,0.83
2020-01-11,Kigali City,-1.9441,30.0619,19.14,2.75,0.83
2020-01-12,Kigali City,-1.9441,30.0619,19.91,1.28,0.82
2020-01-13,Kigali City,-1.9441,30.0619,19.1,2.7,0.82
2020-01-14,Kigali City,-1.9441,30.0619,20.14,0.16,0.82
2020-01-15,Kigali City,-1.9441,30.0619,20.34,0.39,0.82
2020-01-16,Kigali City,-1.9441,30.0619,20.73,0.67,0.81
2020-01-17,Kigali City,-1.9441,30.0619,19.78,5.93,0.81
2020-01-18,Kigali City,-1.9441,30.0619,20.66,2.49,0.81
2020-01-19,Kigali City,-1.9441,30.0619,20.09,8.94,0.82
2020-01-20,Kigali City,-1.9441,30.0619,19.89,0.71,0.82
2020-01-21,Kigali City,-1.9441,30.0619,21.24,0.18,0.81
2020-01-22,Kigali City,-1.9441,30.0619,21.15,0.11,0.81
2020-01-23,Kigali City,-1.9441,30.0619,20.44,15.43,0.81
2020-01-24,Kigali City,-1.9441,30.0619,19.87,14.44,0.82
2020-01-25,Kigali City,-1.9441,30.0619,19.65,1.88,0.82
2020-01-26,Kigali City,-1.9441,30.0619,19.21,4.31,0.82
2020-01-27,Kigali City,-1.9441,30.0619,19.88,4.94,0.82
2020-01-28,Kigali City,-1.9441,30.0619,19.24,31.91,0.82
2020-01-29,Kigali City,-1.9441,30.0619,18.32,6.7,0.84
2020-01-30,Kigali City,-1.9441,30.0619,19.17,2.95,0.84
2020-01-31,Kigali City,-1.9441,30.0619,19.0,3.09,0.84
2020-02-01,Kigali City,-1.9441,30.0619,18.03,26.78,0.85
2020-02-02,Kigali City,-1.9441,30.0619,19.14,4.39,0.85
2020-02-03,Kigali City,-1.9441,30.0619,19.42,18.72,0.86
2020-02-04,Kigali City,-1.9441,30.0619,19.03,8.23,0.86
2020-02-05,Kigali City,-1.9441,30.0619,19.28,8.54,0.87
2020-02-06,Kigali City,-1.9441,30.0619,19.12,5.51,0.87
2020-02-07,Kigali City,-1.9441,30.0619,19.83,0.2,0.87
2020-02-08,Kigali City,-1.9441,30.0619,20.25,0.07,0.86
2020-02-09,Kigali City,-1.9441,30.0619,20.08,0.02,0.86
2020-02-10,Kigali City,-1.9441,30.0619,19.96,0.01,0.86
2020-02-11,Kigali City,-1.9441,30.0619,20.78,0.01,0.85
2020-02-12,Kigali City,-1.9441,30.0619,21.37,0.03,0.85
2020-02-13,Kigali City,-1.9441,30.0619,19.88,2.5,0.85
2020-02-14,Kigali City,-1.9441,30.0619,19.98,1.53,0.85
2020-02-15,Kigali City,-1.9441,30.0619,20.17,0.59,0.84
2020-02-16,Kigali City,-1.9441,30.0619,19.5,0.18,0.84
2020-02-17,Kigali City,-1.9441,30.0619,19.84,0.4,0.84
2020-02-18,Kigali City,-1.9441,30.0619,20.6,0.3,0.83
2020-02-19,Kigali City,-1.9441,30.0619,19.15,3.06,0.83
2020-02-20,Kigali City,-1.9441,30.0619,19.86,2.21,0.83
2020-02-21,Kigali City,-1.9441,30.0619,19.96,3.65,0.83
2020-02-22,Kigali City,-1.9441,30.0619,20.66,0.58,0.83
2020-02-23,Kigali City,-1.9441,30.0619,20.54,0.37,0.83
2020-02-24,Kigali City,-1.9441,30.0619,21.22,9.56,0.82
2020-02-25,Kigali City,-1.9441,30.0619,20.64,82.15,0.84
2020-02-26,Kigali City,-1.9441,30.0619,20.84,8.05,0.84
2020-02-27,Kigali City,-1.9441,30.0619,19.48,18.45,0.85
2020-02-28,Kigali City,-1.9441,30.0619,19.46,7.86,0.86
2020-02-29,Kigali City,-1.9441,30.0619,20.43,5.32,0.86
2020-03-01,Kigali City,-1.9441,30.0619,21.08,14.81,0.86
2020-03-02,Kigali City,-1.9441,30.0619,19.45,20.08,0.87
2020-03-03,Kigali City,-1.9441,30.0619,20.72,1.98,0.88
2020-03-04,Kigali City,-1.9441,30.0619,19.47,1.19,0.87
2020-03-05,Kigali City,-1.9441,30.0619,20.5,2.08,0.87
2020-03-06,Kigali City,-1.9441,30.0619,20.62,2.21,0.87
2020-03-07,Kigali City,-1.9441,30.0619,20.56,0.63,0.87
2020-03-08,Kigali City,-1.9441,30.0619,21.0,2.91,0.87
2020-03-09,Kigali City,-1.9441,30.0619,20.69,30.45,0.87
2020-03-10,Kigali City,-1.9441,30.0619,20.73,9.62,0.88
2020-03-11,Kigali City,-1.9441,30.0619,20.27,2.84,0.88
2020-03-12,Kigali City,-1.9441,30.0619,20.76,1.03,0.88
2020-03-13,Kigali City,-1.9441,30.0619,19.76,6.17,0.88
2020-03-14,Kigali City,-1.9441,30.0619,20.07,0.83,0.88
2020-03-15,Kigali City,-1.9441,30.0619,20.63,3.72,0.88
2020-03-16,Kigali City,-1.9441,30.0619,21.22,18.19,0.89
2020-03-17,Kigali City,-1.9441,30.0619,20.76,5.69,0.89
2020-03-18,Kigali City,-1.9441,30.0619,20.06,7.33,0.89
2020-03-19,Kigali City,-1.9441,30.0619,19.84,2.73,0.89
2020-03-20,Kigali City,-1.9441,30.0619,20.32,3.39,0.89
2020-03-21,Kigali City,-1.9441,30.0619,19.2,21.5,0.89
2020-03-22,Kigali City,-1.9441,30.0619,20.16,6.35,0.89
2020-03-23,Kigali City,-1.9441,30.0619,19.63,7.84,0.89
2020-03-24,Kigali City,-1.9441,30.0619,18.59,6.55,0.9
2020-03-25,Kigali City,-1.9441,30.0619,18.6,33.13,0.9
2020-03-26,Kigali City,-1.9441,30.0619,19.0,6.07,0.91
2020-03-27,Kigali City,-1.9441,30.0619,19.42,41.42,0.91
2020-03-28,Kigali City,-1.9441,30.0619,18.71,16.16,0.93
2020-03-29,Kigali City,-1.9441,30.0619,19.03,3.66,0.93
2020-03-30,Kigali City,-1.9441,30.0619,19.64,2.55,0.93
2020-03-31,Kigali City,-1.9441,30.0619,19.35,4.3,0.93
2020-04-01,Kigali City,-1.9441,30.0619,19.55,2.48,0.93
2020-04-02,Kigali City,-1.9441,30.0619,19.55,3.97,0.93
2020-04-03,Kigali City,-1.9441,30.0619,20.04,1.5,0.92
2020-04-04,Kigali City,-1.9441,30.0619,19.81,3.23,0.92
2020-04-05,Kigali City,-1.9441,30.0619,19.83,1.81,0.92
2020-04-06,Kigali City,-1.9441,30.0619,19.84,0.98,0.92
2020-04-07,Kigali City,-1.9441,30.0619,20.35,3.68,0.91
2020-04-08,Kigali City,-1.9441,30.0619,19.92,1.68,0.91
2020-04-09,Kigali City,-1.9441,30.0619,19.9,1.38,0.91
2020-04-10,Kigali City,-1.9441,30.0619,19.62,3.56,0.91
2020-04-11,Kigali City,-1.9441,30.0619,19.87,1.88,0.91
2020-04-12,Kigali City,-1.9441,30.0619,20.09,2.49,0.91
2020-04-13,Kigali City,-1.9441,30.0619,20.6,7.06,0.91
2020-04-14,Kigali City,-1.9441,30.0619,19.99,3.75,0.91
2020-04-15,Kigali City,-1.9441,30.0619,20.35,1.05,0.91
2020-04-16,Kigali City,-1.9441,30.0619,20.1,4.85,0.91
2020-04-17,Kigali City,-1.9441,30.0619,19.59,17.82,0.91
2020-04-18,Kigali City,-1.9441,30.0619,19.84,33.62,0.92
2020-04-19,Kigali City,-1.9441,30.0619,18.58,18.43,0.93
2020-04-20,Kigali City,-1.9441,30.0619,18.84,29.13,0.94
2020-04-21,Kigali City,-1.9441,30.0619,18.1,12.18,0.95
2020-04-22,Kigali City,-1.9441,30.0619,19.5,35.51,0.95
2020-04-23,Kigali City,-1.9441,30.0619,19.85,14.62,0.96
