countryiso3,date,admin1,admin2,market,market_id,latitude,longitude,category,commodity,commodity_id,unit,priceflag,pricetype,currency,price,usdprice
RWA,2020-01-15,Eastern Province,Gatsibo,Bubare,2373,-1.6,30.25,cereals and tubers,Maize flour,76,KG,actual,Retail,RWF,733.33,0.78
RWA,2020-01-15,Eastern Province,Gatsibo,Bubare,2373,-1.6,30.25,cereals and tubers,Rice (imported),64,KG,actual,Retail,RWF,933.33,1.0
RWA,2020-01-15,Eastern Province,Gatsibo,Bubare,2373,-1.6,30.25,cereals and tubers,Rice (local),71,KG,actual,Retail,RWF,800.0,0.85
RWA,2020-01-15,Eastern Province,Gatsibo,Bubare,2373,-1.6,30.25,miscellaneous food,Salt,185,KG,actual,Retail,RWF,366.67,0.39
RWA,2020-01-15,Eastern Province,Gatsibo,Bubare,2373,-1.6,30.25,oil and fats,Oil,137,L,actual,Retail,RWF,1700.0,1.81
RWA,2020-01-15,Eastern Province,Gatsibo,Bubare,2373,-1.6,30.25,pulses and nuts,Beans (dry),262,KG,actual,Retail,RWF,460.0,0.49
RWA,2020-01-15,Eastern Province,Gatsibo,Mugera,2374,-1.6,30.28,cereals and tubers,Cassava,68,KG,actual,Retail,RWF,200.0,0.21
RWA,2020-01-15,Eastern Province,Gatsibo,Mugera,2374,-1.6,30.28,cereals and tubers,Cassava flour,74,KG,actual,Retail,RWF,375.0,0.4
RWA,2020-01-15,Eastern Province,Gatsibo,Mugera,2374,-1.6,30.28,cereals and tubers,Maize,51,KG,actual,Retail,RWF,300.0,0.32
RWA,2020-01-15,Eastern Province,Gatsibo,Mugera,2374,-1.6,30.28,cereals and tubers,Maize flour,76,KG,actual,Retail,RWF,650.0,0.69
RWA,2020-01-15,Eastern Province,Gatsibo,Mugera,2374,-1.6,30.28,cereals and tubers,Potatoes,83,KG,actual,Retail,RWF,200.0,0.21
RWA,2020-01-15,Eastern Province,Gatsibo,Mugera,2374,-1.6,30.28,cereals and tubers,Potatoes (Irish),148,KG,actual,Retail,RWF,250.0,0.27
RWA,2020-01-15,Eastern Province,Gatsibo,Mugera,2374,-1.6,30.28,cereals and tubers,Rice (imported),64,KG,actual,Retail,RWF,933.33,1.0
RWA,2020-01-15,Eastern Province,Gatsibo,Mugera,2374,-1.6,30.28,cereals and tubers,Rice (local),71,KG,actual,Retail,RWF,800.0,0.85
RWA,2020-01-15,Eastern Province,Gatsibo,Mugera,2374,-1.6,30.28,cereals and tubers,"Rice (long grain, high quality, local)",379,KG,actual,Retail,RWF,1000.0,1.07
RWA,2020-01-15,Eastern Province,Gatsibo,Mugera,2374,-1.6,30.28,cereals and tubers,Sorghum,65,KG,actual,Retail,RWF,365.0,0.39
RWA,2020-01-15,Eastern Province,Gatsibo,Mugera,2374,-1.6,30.28,"meat, fish and eggs",Fish (dry),171,KG,actual,Retail,RWF,2000.0,2.13
RWA,2020-01-15,Eastern Province,Gatsibo,Mugera,2374,-1.6,30.28,"meat, fish and eggs",Meat (beef),141,KG,actual,Retail,RWF,2500.0,2.67
RWA,2020-01-15,Eastern Province,Gatsibo,Mugera,2374,-1.6,30.28,miscellaneous food,Salt,185,KG,actual,Retail,RWF,350.0,0.37
RWA,2020-01-15,Eastern Province,Gatsibo,Mugera,2374,-1.6,30.28,miscellaneous food,Sugar,97,KG,actual,Retail,RWF,933.33,1.0
RWA,2020-01-15,Eastern Province,Gatsibo,Mugera,2374,-1.6,30.28,oil and fats,Oil,137,L,actual,Retail,RWF,1600.0,1.71
RWA,2020-01-15,Eastern Province,Gatsibo,Mugera,2374,-1.6,30.28,oil and fats,Oil (palm),62,L,actual,Retail,RWF,1500.0,1.6
RWA,2020-01-15,Eastern Province,Gatsibo,Mugera,2374,-1.6,30.28,pulses and nuts,Beans (dry),262,KG,actual,Retail,RWF,413.33,0.44
RWA,2020-01-15,Eastern Province,Gatsibo,Mugera,2374,-1.6,30.28,vegetables and fruits,Bananas,254,KG,actual,Retail,RWF,210.0,0.22
RWA,2020-01-15,Eastern Province,Gatsibo,Mugera,2374,-1.6,30.28,vegetables and fruits,Cabbage,181,KG,actual,Retail,RWF,150.0,0.16
RWA,2020-01-15,Eastern Province,Gatsibo,Mugera,2374,-1.6,30.28,vegetables and fruits,Cassava leaves,455,KG,actual,Retail,RWF,300.0,0.32
RWA,2020-01-15,Eastern Province,Gatsibo,Ntungaruze,2375,-1.6,30.27,cereals and tubers,Cassava,68,KG,actual,Retail,RWF,150.0,0.16
RWA,2020-01-15,Eastern Province,Gatsibo,Ntungaruze,2375,-1.6,30.27,cereals and tubers,Cassava flour,74,KG,actual,Retail,RWF,400.0,0.43
RWA,2020-01-15,Eastern Province,Gatsibo,Ntungaruze,2375,-1.6,30.27,cereals and tubers,Maize flour,76,KG,actual,Retail,RWF,900.0,0.96
RWA,2020-01-15,Eastern Province,Gatsibo,Ntungaruze,2375,-1.6,30.27,cereals and tubers,Potatoes,83,KG,actual,Retail,RWF,200.0,0.21
RWA,2020-01-15,Eastern Province,Gatsibo,Ntungaruze,2375,-1.6,30.27,cereals and tubers,Potatoes (Irish),148,KG,actual,Retail,RWF,250.0,0.27
RWA,2020-01-15,Eastern Province,Gatsibo,Ntungaruze,2375,-1.6,30.27,cereals and tubers,Rice (imported),64,KG,actual,Retail,RWF,1000.0,1.07
RWA,2020-01-15,Eastern Province,Gatsibo,Ntungaruze,2375,-1.6,30.27,cereals and tubers,Rice (local),71,KG,actual,Retail,RWF,1000.0,1.07
RWA,2020-01-15,Eastern Province,Gatsibo,Ntungaruze,2375,-1.6,30.27,cereals and tubers,"Rice (long grain, high quality, local)",379,KG,actual,Retail,RWF,1000.0,1.07
RWA,2020-01-15,Eastern Province,Gatsibo,Ntungaruze,2375,-1.6,30.27,"meat, fish and eggs",Fish (dry),171,KG,actual,Retail,RWF,2000.0,2.13
RWA,2020-01-15,Eastern Province,Gatsibo,Ntungaruze,2375,-1.6,30.27,miscellaneous food,Salt,185,KG,actual,Retail,RWF,375.0,0.4
